Image	Name	Price	State	From	Seller info	Product link
=IMAGE("https://i.ebayimg.com/thumbs/images/g/8VMAAOSw7GplSRBt/s-l300.webp")	Large Michael Jordan Chicago Bulls White NBA Jersey New W/Tag	EUR 46.16	Brand New	from United States	jdw-collectibles (212) 100%	https://www.ebay.com/itm/176192663989
=IMAGE("https://i.ebayimg.com/thumbs/images/g/BWQAAOSwxhdk9M0B/s-l300.webp")	Michael Jordan Mitchell & Ness 98 NBA Finals Black & Gold Jersey Sz XXL 52 New	EUR 124.64	Brand New	from United States	patchman407 (392) 100%	https://www.ebay.com/itm/314811005707
=IMAGE("https://i.ebayimg.com/thumbs/images/g/gSkAAOSwL1JlH1iI/s-l300.webp")	Mitchell & Ness Michael Jordan Bulls 1997-98 NBA FINALS Jersey Men's XL RED	EUR 69.25	Brand New	from United States	sportscardcustoms (45) 97.9%	https://www.ebay.com/itm/355085026873
=IMAGE("https://i.ebayimg.com/thumbs/images/g/Ij0AAOSwjF5lrBZM/s-l300.webp")	Michael Jordan NBA Jersey #23 Size M	EUR 36.92	Brand New	from United States	migrodr-9761 (8) 100%	https://www.ebay.com/itm/386677556956
=IMAGE("https://i.ebayimg.com/thumbs/images/g/tx4AAOSwpnFlQtbQ/s-l300.webp")	Chicago Bulls Michael Jordan Red NBA Allstar game jersey	EUR 50.77	Brand New	from United States	retrozwag (1,130) 98.3%	https://www.ebay.com/itm/225848869627
=IMAGE("https://i.ebayimg.com/thumbs/images/g/vlgAAOSwDM5lQplC/s-l300.webp")	Chicago Bulls Michael Jordan White NBA finals jersey	EUR 50.77	Brand New	from United States	retrozwag (1,130) 98.3%	https://www.ebay.com/itm/225974644086
=IMAGE("https://i.ebayimg.com/thumbs/images/g/~7QAAOSwnSplsyLt/s-l300.webp")	New ListingVintage Michael Jordan Chicago Bulls NBA Basketball Jersey MacGregor Sand-Knit L	EUR 38.78	Pre-Owned	from United States	cartwh86 (1,305) 100%	https://www.ebay.com/itm/145575435894
=IMAGE("https://i.ebayimg.com/thumbs/images/g/NLsAAOSwvlplrNAt/s-l300.webp")	XL Chicago Bulls Michael Jordan #45 Black NBA Jersey Brand New	EUR 64.62	Brand New	from United States	mumenri_25 (183) 100%	https://www.ebay.com/itm/134900405520
=IMAGE("https://i.ebayimg.com/thumbs/images/g/VHsAAOSwxWFlchGG/s-l300.webp")	Michael Jordan 1985 Chicago Bulls Red NBA Jersey Brand New All Sizes!	EUR 73.86	Brand New	from United States	bikeswithdreams13 (415) 98.5%	https://www.ebay.com/itm/204571042888
=IMAGE("https://i.ebayimg.com/thumbs/images/g/MuEAAOSwDDplphnv/s-l300.webp")	Michael Jordan #23 Men''s Red Chicago Bulls Classic Jersey	EUR 41.54	Brand New	from United States	outpostrepublic (229) 95.8%	https://www.ebay.com/itm/256378739980
