Home	Price	Typology	Area	Description	Link
Duplex na rua Professor Francisco José de Assis Freitas, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	298.000€	T5	210 m² área bruta	Situado numa zona nobre da cidade, em Felgueiras, este apartamento T5 com acabamentos de luxo conta com 4 suítes e prima pela qualidade, conforto e bom gosto num só espaço. As suas principais características são: Cozinha equipada com eletrodomésticos (placa, forno, exaustor, microondas e frigorífico); 4 suítes	https://www.idealista.pt/imovel/32926113/
Palácio, N207, 235, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	1.600.000€	T7	1.918 m² área bruta	Identificação do imóvel: ZMPT561013 Palacete do sec. XIX, com área de construção total de cerca de 2.000 m2 e inserido em lote com cerca de 20.000 m2 em zona de expansão urbana de acordo com o PDM da Câmara Municipal de Felgueiras Esta propriedade oferece uma excelente oportunidade de investimento. Com uma área total	https://www.idealista.pt/imovel/32915353/
Moradia independente na rua Verdial Horácio de Moura, 585, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	1.200.000€	T3	769 m² área bruta	Identificação do imóvel: ZMPT560990 Moradia T3, independente, com Varandas, Jardins, Piscina e Garagem com 220m², em Zona Residencial de Moradias, em Felgueiras Localização: Localizada na Rua Verdial Horácio de Moura, Zona Residencial de Moradias em felgueiras Distribui-se em 3 Pisos (Cave, R/Chão, 1º andar), da seg	https://www.idealista.pt/imovel/32902540/
Quinta em Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	894.000€	T6	987 m² área bruta	Quinta, com duas moradias T3 cada, totalizando 987 m2 de área bruta de construção, piscina, jardim e estacionamento, em Margaride, Felgueiras, distrito do Porto. A casa principal dispõe de sala de estar e de jantar, cozinha ampla com ilha, três suites, sendo a master de grandes dimensões com pequeno ginásio, escritório	https://www.idealista.pt/imovel/32896813/
Moradia independente, Cm1170, 120, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	375.000€	T3	345 m² área bruta	Identificação do imóvel: ZMPT561447 Esta moradia em Margaride, Felgueiras combina perfeitamente o charme tradicional com comodidades modernas. As suas paredes exteriores em granito, isolante, cimento e tijolo não só oferecem durabilidade e qualidade excepcional, mas também embelezam a sua fachada de forma única. No r	https://www.idealista.pt/imovel/32931808/
Moradia independente na rua da Torre, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	230.000€	T4	700 m² área bruta	Identificação do imóvel: ZMPT557949 Este imóvel em reconstrução situado em Varziela, Felgueiras, é uma oportunidade única para quem procura um espaço amplo e confortável para viver ou investir em turismo rural. Com uma área total de 700 m2, este imóvel está em fase de reconstrução, o que lhe permite personalizá-lo de	https://www.idealista.pt/imovel/32672830/
Moradia independente em Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	750.000€	T5	450 m² área bruta	Moradia T5, com 450 m2 de área bruta de construção, piscina, jardim e garagem, em Margaride, Felgueiras, no distrito do Porto. Esta propriedade vanguardista, que dispõe de Wi-Fi, de estacionamento privado com amplas garagens e aquecimento central, está dividida em dois pisos e possui um total de 5 quartos com casa de b	https://www.idealista.pt/imovel/32898330/
Moradia independente em Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	1.600.000€	T6	620 m² área bruta	Casa localizada na freguesia de Sernande, a 6km do centro de Felgueiras, a 8,5Km do Mosteiro de Pombeiro e a 11min de carro do Santuário e Miradouro de Santa Quitéria. A casa principal é uma casa de campo com arquitectura rústica, construída em pedra, edificada há mais de 100 anos e que fica inserida numa vasta propri	https://www.idealista.pt/imovel/32178634/
Apartamento T3 na rua D. Gomes D Aciegas, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	267.500€	T3	182 m² área bruta	Apartamento T3 Novo no Centro da Cidade de Felgueiras! Dispõe de: - Cozinha e sala em open space; - Cozinha mobilada e equipada com placa, forno, exaustor e microondas; - Sala com varanda; - Suíte e quartos com roupeiros embutidos; - Móveis nas casas de banho; - Caixilharia com rotura térmica e vidros duplos; - Ar co	https://www.idealista.pt/imovel/33119549/
Apartamento T2 na travessa da Piedade, 19, Margaride (Santa Eulália) - Várzea - Lagares - Varziela - Moure, Felgueiras	219.000€	T2	129 m² área bruta	Apartamento T2, com Lugar de Garagem e Arrumos - Águas Santas, Maia  Procura um Apartamento T2 com Lugar de Garagem e Arrumos, em Águas Santas, Maia? Então, este apartamento merece ser visitado por si. Neste imóvel encontrará as seguintes caraterísticas: - Localizado na Travessa da Piedade, 19 - Águas Santas, Maia, muito próximo das Piscinas Municipais de Águas Santas e Apeadeiro da P	https://www.idealista.pt/imovel/33142977/
